question,option1,option2,option3,option4,answer
What color is the sky in the afternoon?,Red,Black,Purple,Blue,4
What is the capital of France?,Paris,London,Normandy,Quebec City,1
What is Darius's favorite color?,Blue,Red,Green,Yellow,1
What is the capital of the United States,Washington D.C.,New York City,Philidelphia,Los Angeles,1
What planet is known as the Red Planet?,Earth,Mars,Jupiter,Saturn,2
How many legs does a spider have?,6,8,10,4,2
Which ocean is the largest?,Atlantic,Arctic,Indian,Pacific,4
What gas do plants absorb?,Oxygen,Carbon Dioxide,Nitrogen,Helium,2
What is 5 + 7?,10,12,13,14,2
Which animal is known as man’s best friend?,Cat,Parrot,Dog,Rabbit,3
How many continents are there?,5,6,7,8,3
What is H2O?,Oxygen,Water,Hydrogen,Carbon,2
Which is the tallest mountain on Earth?,K2,Mount Everest,Denali,Kilimanjaro,2
What is the freezing point of water?,0C,10C,100C,-10C,1
Who painted the Mona Lisa?,Van Gogh,Michelangelo,Da Vinci,Picasso,3
What is the main language spoken in Brazil?,Spanish,French,Brazilian,Portuguese,4
What currency is used in Japan?,Yuan,Won,Euro,Yen,4
How many hours are in a day?,24,12,48,60,1
What is the chemical symbol for gold?,Go,Ag,Au,Gd,3
Which planet is closest to the sun?,Venus,Earth,Mercury,Mars,3
What is the boiling point of water?,50C,90C,100C,150C,3
Which country is known for the Eiffel Tower?,Spain,Italy,Germany,France,4
What is the largest mammal?,Elephant,Blue Whale,Hippopotamus,Giraffe,2
Which month has 28 days?,February,All of them,June,November,1
What do bees make?,Milk,Honey,Wax,Silk,2
What is the square root of 64?,6,7,8,9,3
What does a thermometer measure?,Pressure,Speed,Temperature,Volume,3
What is the longest river in the world?,Nile,Amazon,Mississippi,Yangtze,2
How many days are in a leap year?,365,364,366,367,3
What color are bananas?,Red,Green,Yellow,Blue,3
Which sport uses a bat and ball?,Football,Tennis,Baseball,Basketball,3
Which planet has rings?,Mars,Venus,Jupiter,Saturn,4
Who was the first president of the USA?,Lincoln,Jefferson,Washington,Adams,3
What is the main ingredient in bread?,Sugar,Rice,Flour,Milk,3
Which metal is liquid at room temperature?,Iron,Lead,Mercury,Copper,3
What do you call a baby cat?,Kit,Kitten,Cub,Pup,2
What number comes after 99?,100,101,98,102,1
Which sense is associated with the nose?,Taste,Touch,Hearing,Smell,4
Which part of the plant conducts photosynthesis?,Root,Stem,Leaf,Flower,3
What is the first element on the periodic table?,Helium,Hydrogen,Oxygen,Carbon,2
How many wheels does a tricycle have?,2,3,4,1,2
What is the name of the fairy in Peter Pan?,Cinderella,Tinker Bell,Ariel,Belle,2
Which shape has three sides?,Circle,Square,Triangle,Rectangle,3
What do cows drink?,Milk,Juice,Water,Soda,3
What is the fastest land animal?,Lion,Elephant,Cheetah,Horse,3
Which instrument has black and white keys?,Guitar,Violin,Piano,Drums,3
What do you use to write on a blackboard?,Pen,Marker,Chalk,Pencil,3
Which planet is known for its big red spot?,Earth,Mars,Saturn,Jupiter,4
How many sides does a hexagon have?,5,6,7,8,2
What is the color of most grass?,Green,Blue,Orange,Yellow,1
